text,true_intent
Book a flight to Delhi,book_flight
I want to fly to Mumbai tomorrow,book_flight
Get me a ticket to Chennai,book_flight
I need to travel to Bangalore next week,book_flight
Can you book a flight to Goa for Friday,book_flight
I want to go to Delhi by plane,book_flight
Find me a flight to Mumbai this weekend,book_flight
Book two tickets to Chennai for tomorrow,book_flight
I need a one way flight to Bangalore,book_flight
Get me the earliest flight to Goa,book_flight
Reserve a flight seat to Delhi for next Monday,book_flight
I want to fly from Mumbai to Chennai,book_flight
Book a return flight to Bangalore,book_flight
Can I get a flight to Goa next Friday,book_flight
I need to book a flight immediately to Delhi,book_flight
Find cheapest flight to Mumbai tomorrow,book_flight
Schedule a flight to Chennai for the weekend,book_flight
Book business class to Bangalore,book_flight
I want an evening flight to Goa,book_flight
Get me a morning flight to Delhi please,book_flight
Can you check flights to Mumbai on Sunday,book_flight
I need to fly to Chennai urgently,book_flight
Book a connecting flight to Bangalore,book_flight
Find me a direct flight to Goa,book_flight
I want to travel to Delhi by air next week,book_flight
Book a flight for two to Mumbai,book_flight
I need tickets to Chennai for my family,book_flight
Get a flight to Bangalore on Saturday,book_flight
Can you reserve a flight to Goa for me,book_flight
I want to book the next available flight to Delhi,book_flight
Order me a pizza,order_food
I want to eat biryani,order_food
Get me a burger and fries,order_food
I am hungry order some pasta,order_food
Can you order me some sushi,order_food
I feel like eating pizza tonight,order_food
Order a large biryani for delivery,order_food
Get me two burgers please,order_food
I want pasta with extra cheese,order_food
Order some Chinese food for me,order_food
Can I get a pizza with extra toppings,order_food
I want to order biryani and naan,order_food
Get me a veggie burger,order_food
Order pasta and garlic bread,order_food
I am craving some fried rice,order_food
Can you get me a pizza margherita,order_food
Order me chicken biryani please,order_food
I want a double cheeseburger,order_food
Get some pasta delivered to my place,order_food
Order me a meal for two,order_food
I want to order food right now,order_food
Can you order me some tandoori chicken,order_food
Get me a pepperoni pizza,order_food
I want to eat something spicy order biryani,order_food
Order me french fries and a burger,order_food
Can I get pasta carbonara delivered,order_food
I feel like having a pizza party,order_food
Order me some noodles and fried rice,order_food
Get me a healthy meal please,order_food
I want to order dessert and pasta,order_food
What is the weather in Delhi?,check_weather
Will it rain tomorrow in Mumbai?,check_weather
Tell me the forecast for Chennai,check_weather
How is the weather today?,check_weather
What is the temperature in Bangalore right now,check_weather
Is it going to snow in Delhi tomorrow,check_weather
Check the weather for Goa this weekend,check_weather
What will the weather be like in Mumbai on Friday,check_weather
Tell me if it will rain in Chennai today,check_weather
How hot is it in Bangalore,check_weather
What is the weather forecast for next week in Delhi,check_weather
Is it sunny in Mumbai right now,check_weather
Will there be a storm in Chennai tomorrow,check_weather
What is the humidity level in Bangalore,check_weather
Check weather conditions in Goa today,check_weather
Is it cold in Delhi this week,check_weather
What is the wind speed in Mumbai,check_weather
Tell me the weather update for Chennai,check_weather
How is the weather in Bangalore this evening,check_weather
Will it be cloudy in Goa tomorrow,check_weather
What is the UV index in Delhi today,check_weather
Is it safe to travel to Mumbai in this weather,check_weather
Tell me the weekly forecast for Chennai,check_weather
How cold will it get in Bangalore tonight,check_weather
What is the weather like in Goa in December,check_weather
Is it raining in Delhi right now,check_weather
What are the weather conditions in Mumbai today,check_weather
Will it be hot in Chennai this weekend,check_weather
Check if there are any weather warnings for Bangalore,check_weather
What is the weather going to be like in Goa on Saturday,check_weather
Remind me to call mom at 5pm,set_reminder
Set a reminder for my meeting tomorrow,set_reminder
Alert me at 8am to take medicine,set_reminder
Remind me about the gym at 6pm,set_reminder
Set an alarm for my doctor appointment on Friday,set_reminder
Remind me to pay bills tomorrow morning,set_reminder
